repo,operational_roles,autonomy_level,target_users,description
zed-industries/zed,"coding, framework/platform",supervised,Software developers seeking a fast collaborative editor,"High-performance multiplayer code editor with built-in AI assistant, terminal agent, and MCP support"
OpenHands/OpenHands,"coding, enterprise, framework/platform",semi-autonomous,Dev teams and enterprises scaling AI software development,Open platform for AI software development agents running in Docker/K8s sandboxes at scale
openinterpreter/open-interpreter,"coding, personal",supervised,Developers and power users wanting natural-language OS control,Natural language interface letting LLMs execute code locally with full system access
openai/codex,"coding, infra/ops",semi-autonomous,Terminal-centric developers and CI/CD pipeline operators,OpenAI's open-source terminal coding agent with three-tier autonomy and network-disabled sandbox
cline/cline,coding,supervised,Developers wanting an IDE or CLI based AI assistant,Autonomous coding agent in VS Code with human-in-the-loop approval for file edits and terminal commands
AntonOsika/gpt-engineer,"coding, framework/platform",semi-autonomous,Developers and code-generation experimenters,CLI tool for LLM-driven full codebase generation from natural language specifications
FoundationAgents/OpenManus,"framework/platform, coding",fully autonomous,AI researchers and developers building general-purpose agents,Open-source multi-agent framework for autonomous task execution across coding browsing and data analysis
Aider-AI/aider,coding,supervised,Developers wanting terminal-based AI pair programming,AI pair programmer in the terminal with automatic git commits and undo support
CherryHQ/cherry-studio,personal,supervised,General users and knowledge workers wanting a multi-LLM desktop client,Desktop AI productivity studio supporting 300+ LLM providers with local model support
reworkd/AgentGPT,"client-facing, personal, framework/platform",fully autonomous,Non-technical general users via public web interface,Browser-based platform to configure and deploy autonomous AI agents toward any goal (archived)
Pythagora-io/gpt-pilot,coding,semi-autonomous,Software developers building full-stack web applications,AI developer that builds production-ready apps step-by-step with developer-in-the-loop oversight
continuedev/continue,"coding, infra/ops",semi-autonomous,Development teams using VS Code or JetBrains with CI/CD pipelines,Open-source AI code assistant with automated CI code review integration
block/goose,"coding, infra/ops",semi-autonomous,Software developers and platform engineers,Open-source extensible on-machine AI agent for automating engineering tasks via MCP
ItzCrazyKns/Perplexica,personal,supervised,Privacy-conscious users wanting self-hosted AI search,Privacy-focused self-hosted AI-powered search engine as an open-source Perplexity alternative
voideditor/void,coding,supervised,Developers wanting a privacy-first open-source AI IDE,Open-source AI code editor forked from VS Code with no backend middleman (development paused)
bytedance/UI-TARS-desktop,framework/platform,fully autonomous,Researchers and developers building GUI automation agents,Multimodal AI desktop agent using vision models to autonomously operate GUIs and browsers
assafelovic/gpt-researcher,personal,fully autonomous,Researchers and analysts wanting automated deep research,Autonomous multi-agent deep research system generating detailed cited reports from web sources
Fosowl/agenticSeek,personal,fully autonomous,Privacy-conscious power users wanting fully local AI assistance,Fully local voice-enabled autonomous AI assistant with zero cloud dependency as a Manus AI alternative
RooCodeInc/Roo-Code,"coding, enterprise",semi-autonomous,Enterprise engineering teams using VS Code,AI-powered coding agent in VS Code with SOC2 compliance and enterprise self-hosting
Skyvern-AI/skyvern,enterprise,semi-autonomous,Business teams replacing brittle RPA with AI browser automation,AI-powered browser automation using LLMs and computer vision for enterprise workflow automation
charmbracelet/crush,coding,semi-autonomous,Developers who prefer terminal-based workflows,Glamorous agentic AI coding assistant for the terminal with LSP and MCP support
stitionai/devika,coding,semi-autonomous,Developers seeking an open-source autonomous software engineer,"Open-source agentic AI software engineer that plans, researches, and writes code autonomously"
kortix-ai/suna,"enterprise, client-facing, coding, infra/ops, framework/platform",fully autonomous,Companies deploying autonomous AI agents for operations,Open-source autonomous AI agent platform with Docker sandboxes for company-wide operations
QwenLM/qwen-code,coding,semi-autonomous,Terminal developers using Qwen models,Open-source terminal AI coding agent by Alibaba optimized for Qwen models with YOLO mode
stackblitz-labs/bolt.diy,"coding, client-facing",semi-autonomous,Web developers and non-developers building web apps in-browser,Browser-based tool to prompt build and deploy full-stack web apps using any LLM in WebContainers
SWE-agent/SWE-agent,"coding, framework/platform",fully autonomous,AI/ML researchers and enterprises automating GitHub issue resolution,Autonomous LM-powered agent that resolves GitHub issues and finds vulnerabilities with multi-runtime sandboxing
screenpipe/screenpipe,"personal, framework/platform",fully autonomous,Privacy-conscious users and developers building on personal activity data,24/7 local screen and audio recorder powering AI agent plugins based on your activity
Kilo-Org/kilocode,"coding, framework/platform",semi-autonomous,VS Code developers and CLI users wanting multi-model AI coding,All-in-one agentic coding platform with VS Code extension and CLI supporting 500+ AI models
badlogic/pi-mono,"coding, framework/platform",semi-autonomous,Developers and AI agent system builders,AI agent toolkit monorepo with coding agent CLI and unified LLM API with TUI and web UI
browser-use/web-ui,framework/platform,semi-autonomous,Developers and automation engineers building AI browser agents,Gradio web interface for running AI-driven browser automation agents with multi-LLM support
vercel-labs/agent-browser,"framework/platform, infra/ops",supervised,AI agent developers needing programmatic browser control,Browser automation CLI designed as infrastructure for AI agents to control Chrome
plandex-ai/plandex,coding,semi-autonomous,Developers working on large complex multi-file codebases,Terminal-based AI coding agent for large projects with version-controlled plans and 2M-token context
trycua/cua,"framework/platform, infra/ops",fully autonomous,AI researchers and developers needing safe sandboxed computer-use environments,Open-source VM-based infrastructure for computer-use agents with sandboxes SDKs and benchmarks
nanobrowser/nanobrowser,personal,semi-autonomous,End users wanting free privacy-focused browser task automation,Open-source Chrome extension for AI-powered web automation with multi-agent architecture
